frame,tempo (s),x (px),y (px),distancia acumulada (px),velocidade (px/s)
50,1.6938405797101448,438.1082251082245,485.54978354978283,566.9598833937594,456.11892285597605
51,1.7277173913043478,443.2554112554106,502.1428571428564,584.3329549845558,444.78029267774764
52,1.7615942028985507,444.9177489177483,514.796536796536,597.0953597454765,373.98276912086476
53,1.7954710144927535,444.4372294372288,527.3636363636356,609.6716426025274,398.76945694522146
54,1.8293478260869565,444.3549783549777,541.805194805194,624.1134352703882,394.7100852373678
55,1.8632246376811594,442.02164502164436,553.8831168831161,636.4146809863636,303.5673953605037
56,1.8971014492753622,438.8874458874452,561.5324675324667,644.6812261879296,252.09700067141966
57,1.9309782608695651,434.632034632034,569.2510822510814,653.4951661767822,244.11026306285385
58,1.9648550724637681,433.9696969696963,576.9480519480511,661.2205809679128,251.38504413996998
59,1.9987318840579709,430.43722943722884,585.5584415584408,670.5274137326423,236.05112146563442
60,2.032608695652174,426.01731601731535,590.5757575757567,677.2138997048961,199.69033403420508
61,2.0664855072463766,421.4978354978349,595.7142857142849,684.0571573791627,170.82440155338918
62,2.10036231884058,418.47186147186085,599.3506493506484,688.7878718391293,117.38110671942559
63,2.1342391304347825,416.0844155844154,601.5147186147183,692.0101526532688,78.01782244421884
64,2.1681159420289853,414.0887445887443,602.0402597402593,694.0738619829948,59.27276617437201
65,2.2019927536231885,412.4848484848481,600.9272727272722,696.0260973179817,73.19028258279468
66,2.235869565217391,411.2727272727267,598.175757575757,699.0327688101625,88.75308361945419
