frame,time,x,y,distancia_px,velocidade_px_s,dx,dy,dt,vx,vy,velocidade_calc,velocidade_suavizada
1,0.0338768115942028,45.14848484848482,148.40606060606055,7.709863335611782,230.05277246650596,7.6878787878787875,0.5818181818181927,0.0338768115942028,226.9363150218772,17.17452600875098,227.58527065549288,
2,0.0677536231884057,53.01601731601728,148.79307359307356,15.586908859143698,235.0653152476395,7.867532467532463,0.38701298701300857,0.03387681159420291,232.23946107368548,11.424126675464207,232.52027427751958,
3,0.1016304347826086,61.06320346320343,148.98528138528135,23.63639012956417,240.22806074930847,8.047186147186146,0.19220779220779605,0.03387681159420289,237.54260712549487,5.673727342176655,237.61035621775952,238.95719524435503
4,0.1355072463768115,69.29004329004319,148.98268398268374,31.8632303664338,248.535037535502,8.226839826839758,-0.002597402597615428,0.0338768115942029,242.8457531773019,-0.07667199111677626,242.84576528085734,246.68688085748346
5,0.1693840579710145,77.88744588744578,148.47619047619023,40.47553941186087,260.2290042556404,8.597402597402592,-0.5064935064935128,0.033876811594203,253.7842905757335,-14.951038266546428,254.2243097901459,253.7774252859364
6,0.2032608695652173,86.90043290043278,148.14285714285694,49.49468826346451,267.1033475704594,9.012987012986997,-0.33333333333328596,0.033876811594202805,266.05180915341367,-9.839572192511998,266.23369872113506,260.4224743161788
7,0.2371376811594202,95.97835497835484,148.0909090909089,58.57275897551155,269.4042988943779,9.077922077922068,-0.051948051948045304,0.03387681159420289,267.96860893117554,-1.5334398222096801,267.9729964197841,269.6600987749203
8,0.2710144927536231,105.147186147186,148.42857142857122,67.74780561609083,279.9347444717688,9.168831168831161,0.3376623376623229,0.033876811594202916,270.65212862004273,9.967358844363751,270.83560136897154,264.0743176633457
9,0.3048913043478261,114.91774891774875,149.06926406926385,77.53935216979443,257.6646459034196,9.770562770562748,0.6406926406926345,0.03387681159420297,288.4144732273062,18.91242447392158,289.03388757456503,248.94439768380985
10,0.338768115942029,122.55411255411238,149.74458874458855,85.20551894360513,208.43975152786425,7.636363636363626,0.6753246753247026,0.033876811594202916,225.4156538648513,19.93471768872918,226.29540423227286,241.3815587124475
11,0.3726449275362318,128.9999999999998,150.1125541125539,91.66190055229826,210.3714501932136,6.445887445887422,0.36796536796535406,0.033876811594202805,190.27432460587522,10.861865407319572,190.58409882345563,225.51580520943224
12,0.4065217391304347,136.75757575757558,150.89610389610368,99.45894690959462,210.83281770843405,7.757575757575779,0.7835497835497733,0.033876811594202916,228.99368011667528,23.129383984998643,230.15880156297243,215.98292809451482
13,0.4403985507246377,143.18181818181796,151.80086580086558,105.94658783906536,216.4381679269368,6.4242424242423795,0.904761904761898,0.03387681159420297,189.63539134661957,26.707410236821744,191.50683385389527,219.18527000100798
14,0.4742753623188405,151.04761904761884,154.0346320346318,114.12341698290516,241.8383078823581,7.865800865800878,2.2337662337662323,0.033876811594202805,232.18834641294634,65.93791235502479,241.36950199997784,256.65219701330165
15,0.5081521739130435,158.46753246753224,157.54545454545433,122.33200942384832,310.11292382483134,7.419913419913399,3.5108225108225213,0.03387681159420297,219.0263212723095,103.63497465101752,242.30711376473863,273.31173979819596
16,0.5420289855072463,170.18614718614694,162.70129870129847,135.13469116958757,345.68762468618365,11.718614718614702,5.155844155844136,0.03387681159420286,345.9184665601777,152.19390235432974,377.918733884924,306.18448676380075
17,0.5759057971014493,179.68831168831142,167.4415584415582,145.75359848773107,334.66354208468124,9.502164502164476,4.740259740259717,0.03387681159420297,280.49170081255505,139.92638377665017,313.4565154874441,321.3438803425536
18,0.6097826086956522,190.242424242424,173.26839826839802,157.80935869489025,336.5185192878312,10.554112554112578,5.82683982683983,0.03387681159420286,311.54385721230744,172.000833391208,355.8705686819194,327.581002151519
19,0.643659420289855,199.72294372294343,178.32467532467507,168.553947439479,295.3295963516539,9.480519480519433,5.056277056277054,0.03387681159420286,279.85276755330125,149.25480936176132,317.16646989374175,300.9451479755138
20,0.677536231884058,207.81818181818156,182.83116883116853,177.8190088824842,259.11609290723163,8.09523809523813,4.506493506493456,0.03387681159420297,238.9610389610395,133.02590457670493,273.49272280956586,274.34609829811984
21,0.7114130434782608,214.96969696969663,187.02597402597377,186.11000156036755,212.6003650526859,7.151515151515071,4.194805194805241,0.03387681159420286,211.1035488575574,123.82526564344896,244.73946300489797,260.9833494175565
22,0.7452898550724637,219.84848484848453,190.70995670995643,192.22345390598144,234.75904568978785,4.878787878787904,3.683982683982663,0.03387681159420286,144.0155566358784,108.74644072504985,180.46126710047417,256.6060617579124
23,0.7791666666666667,227.6536796536793,196.62337662337637,202.0157774821032,292.1684279373121,7.805194805194759,5.913419913419943,0.03387681159420297,230.39933328703196,174.5565664282247,289.05682427910267,267.9290816982992
