frame,tempo (s),x (px),y (px),distancia acumulada (px),velocidade (px/s),x (m),y (m),distancia acumulada (m),velocidade (m/s)
0,0.0,37.46060606060603,147.82424242424236,0.0,227.5852706554922,0.04994747474747472,0.19709898989898983,0.0,0.3034470275406563
1,0.0338768115942028,45.14848484848482,148.40606060606055,7.709863335611782,230.05277246650596,0.06019797979797977,0.19787474747474743,0.01027981778081571,0.3067370299553413
2,0.0677536231884057,53.01601731601728,148.79307359307356,15.586908859143698,235.0653152476395,0.07068802308802305,0.19839076479076476,0.020782545145524932,0.313420420330186
3,0.1016304347826086,61.06320346320343,148.98528138528135,23.63639012956417,240.22806074930847,0.08141760461760458,0.19864704184704182,0.031515186839418896,0.320304080999078
4,0.1355072463768115,69.29004329004319,148.98268398268374,31.8632303664338,248.535037535502,0.09238672438672427,0.19864357864357834,0.04248430715524507,0.33138005004733606
5,0.1693840579710145,77.88744588744578,148.47619047619023,40.47553941186087,260.2290042556404,0.10384992784992772,0.19796825396825365,0.05396738588248117,0.34697200567418723
6,0.2032608695652173,86.90043290043278,148.14285714285694,49.49468826346451,267.1033475704594,0.11586724386724372,0.19752380952380927,0.06599291768461936,0.3561377967606126
7,0.2371376811594202,95.97835497835484,148.0909090909089,58.57275897551155,269.4042988943779,0.12797113997113982,0.19745454545454522,0.07809701196734874,0.3592057318591706
8,0.2710144927536231,105.147186147186,148.42857142857122,67.74780561609083,279.9347444717688,0.140196248196248,0.19790476190476164,0.09033040748812111,0.37324632596235846
9,0.3048913043478261,114.91774891774875,149.06926406926385,77.53935216979443,257.6646459034196,0.153223665223665,0.1987590187590185,0.10338580289305925,0.3435528612045595
10,0.338768115942029,122.55411255411238,149.74458874458855,85.20551894360513,208.43975152786425,0.1634054834054832,0.19965945165945143,0.11360735859147351,0.277919668703819
11,0.3726449275362318,128.9999999999998,150.1125541125539,91.66190055229826,210.3714501932136,0.17199999999999976,0.2001500721500719,0.12221586740306437,0.28049526692428484
12,0.4065217391304347,136.75757575757558,150.89610389610368,99.45894690959462,210.83281770843405,0.18234343434343414,0.20119480519480493,0.13261192921279283,0.28111042361124544
13,0.4403985507246377,143.18181818181796,151.80086580086558,105.94658783906536,216.4381679269368,0.19090909090909064,0.20240115440115414,0.14126211711875383,0.2885842239025825
14,0.4742753623188405,151.04761904761884,154.0346320346318,114.12341698290516,241.8383078823581,0.20139682539682513,0.2053795093795091,0.1521645559772069,0.3224510771764775
15,0.5081521739130435,158.46753246753224,157.54545454545433,122.33200942384832,310.11292382483134,0.211290043290043,0.2100606060606058,0.16310934589846446,0.4134838984331085
16,0.5420289855072463,170.18614718614694,162.70129870129847,135.13469116958757,345.68762468618365,0.22691486291486263,0.21693506493506465,0.1801795882261168,0.4609168329149116
17,0.5759057971014493,179.68831168831142,167.4415584415582,145.75359848773107,334.66354208468124,0.23958441558441526,0.22325541125541096,0.19433813131697478,0.4462180561129084
18,0.6097826086956522,190.242424242424,173.26839826839802,157.80935869489025,336.5185192878312,0.25365656565656536,0.23102453102453072,0.21041247825985368,0.4486913590504417
19,0.643659420289855,199.72294372294343,178.32467532467507,168.553947439479,295.3295963516539,0.2662972582972579,0.23776623376623346,0.22473859658597203,0.3937727951355386
20,0.677536231884058,207.81818181818156,182.83116883116853,177.8190088824842,259.11609290723163,0.2770909090909088,0.2437748917748914,0.2370920118433123,0.3454881238763089
21,0.7114130434782608,214.96969696969663,187.02597402597377,186.11000156036755,212.6003650526859,0.28662626262626223,0.24936796536796504,0.24814666874715677,0.28346715340358125
22,0.7452898550724637,219.84848484848453,190.70995670995643,192.22345390598144,234.75904568978785,0.29313131313131274,0.25427994227994194,0.2562979385413086,0.31301206091971717
23,0.7791666666666667,227.6536796536793,196.62337662337637,202.0157774821032,292.1684279373121,0.3035382395382391,0.2621645021645019,0.26935436997613765,0.3895579039164162
24,0.8130434782608695,235.7186147186144,202.54112554112524,212.01892347999492,312.69392705351083,0.3142914862914859,0.2700548340548337,0.2826918979733266,0.41692523607134785
25,0.8469202898550724,244.3160173160169,209.6926406926404,223.2019239889896,343.4693856227723,0.32575468975468924,0.2795901875901872,0.2976025653186528,0.4579591808303631
26,0.8807971014492754,253.7359307359304,217.268398268398,235.2902188102336,379.02144043487806,0.3383145743145739,0.28969119769119733,0.3137202917469782,0.5053619205798375
27,0.9146739130434782,263.8008658008654,226.40259740259708,248.88199984454116,365.65603122314,0.35173448773448723,0.30187012987012946,0.33184266645938826,0.48754137496418676
28,0.9485507246376812,272.27705627705586,233.69696969696932,260.0647397662941,356.50847125031214,0.36303607503607455,0.31159595959595915,0.34675298635505886,0.4753446283337496
29,0.982427536231884,281.27705627705586,243.03896103896068,273.0367404691094,356.4353040702599,0.37503607503607456,0.3240519480519476,0.36404898729214596,0.47524707209367995
30,1.016304347826087,288.8225108225104,251.28571428571396,284.21452304931535,331.28611970568227,0.3850966810966806,0.33504761904761865,0.37895269739908716,0.4417148262742431
31,1.05018115942029,296.7359307359303,259.3073593073589,295.4825753911974,349.3495501262332,0.39564790764790714,0.3457431457431453,0.3939767671882632,0.465799400168311
32,1.0840579710144926,305.08658008657966,268.4761904761901,307.8842208296072,365.5036708345269,0.40678210678210625,0.3579682539682535,0.41051229443947634,0.48733822777936925
33,1.1179347826086956,313.50649350649303,277.52813852813813,320.24677337889904,376.7379002926218,0.41800865800865744,0.37003751803751755,0.4269956978385321,0.5023172003901625
34,1.1518115942028986,322.06060606060555,287.5324675324671,333.40957856682473,393.77060998754223,0.4294141414141408,0.3833766233766228,0.4445461047557664,0.5250274799833897
35,1.185688405797101,330.7532467532463,297.8831168831165,346.9261589106637,406.44795509124833,0.44100432900432845,0.3971774891774887,0.462568211880885,0.5419306067883312
36,1.2195652173913043,339.2077922077917,309.0692640692636,360.9479001617752,436.20779848089205,0.45227705627705567,0.41209235209235157,0.48126386688236694,0.5816103979745229
37,1.2534420289855073,347.77489177489133,322.0259740259736,376.4808177207821,419.56947893553024,0.46369985569985517,0.42936796536796484,0.5019744236277095,0.5594259719140404
38,1.28731884057971,354.64935064935014,332.9350649350645,389.37525253892886,355.52549069872657,0.47286580086580027,0.44391341991341937,0.5191670033852386,0.4740339875983022
39,1.321195652173913,360.6623376623371,342.3766233766229,400.5689578514567,367.3054063732452,0.4808831168831162,0.4565021645021639,0.5340919438019422,0.4897405418309937
40,1.355072463768116,368.4285714285709,353.65367965367915,414.261524637406,370.1648291737874,0.4912380952380946,0.4715382395382389,0.5523486995165414,0.4935531055650499
41,1.3889492753623187,374.6580086580081,363.1861471861466,425.6489662048981,356.48217488811497,0.49954401154401085,0.48424819624819554,0.5675319549398642,0.4753095665174867
42,1.4228260869565217,381.9523809523804,373.6623376623371,438.4144835881587,412.6822983644306,0.5092698412698405,0.49821645021644956,0.5845526447842117,0.5502430644859075
43,1.4567028985507249,390.1125541125536,386.4805194805189,453.609687144807,491.8131880730689,0.5201500721500715,0.5153073593073586,0.6048129161930761,0.6557509174307586
44,1.4905797101449274,399.4718614718609,402.0043290043284,471.7366090119499,487.7495794512115,0.5326291486291479,0.5360057720057713,0.6289821453492666,0.6503327726016154
45,1.5244565217391304,406.9523809523804,414.9134199134193,486.6564883612478,492.0741569788597,0.542603174603174,0.5532178932178925,0.6488753178149972,0.656098875971813
46,1.5583333333333331,415.7922077922072,431.0735930735924,505.0764160246481,522.2865829552684,0.5543896103896097,0.5747647907647899,0.6734352213661976,0.6963821106070246
47,1.592210144927536,423.69696969696906,446.0865800865794,522.043296699159,493.3920059068041,0.5649292929292922,0.5947821067821059,0.6960577289322121,0.657856007875739
